,Month,Day,Film,Released,Rating,Like,Rewatch,Review,EditYou
0,Nov 2023,26,Oppenheimer,2023,×,,,Read the review,Edit this entry
1,,22,Step Brothers,2008,×,,,,Edit this entry
2,,22,The Impossible,2012,×,,,Read the review,Edit this entry
3,,19,A Star Is Born,2018,×,,,,Edit this entry
4,,9,Taste of Cherry,1997,×,,,,Edit this entry
5,,8,Black Orpheus,1959,×,,,Read the review,Edit this entry
6,,8,Apocalypto,2006,×,,,,Edit this entry
7,,2,Polytechnique,2009,×,,,,Edit this entry
8,,1,Enemy,2013,×,,,,Edit this entry
9,Oct 2023,30,Arrival,2016,×,,,,Edit this entry
10,,26,Oppenheimer,2023,×,,,Read prior review,Edit this entry
11,,15,The Day After Tomorrow,2004,×,,,Read the review,Edit this entry
12,Sep 2023,27,Koyaanisqatsi,1982,× ★★★★★,,,,Edit this entry
13,,14,Superbad,2007,× ★★★★★,,,Read the review,Edit this entry
14,,11,National Treasure,2004,× ★★★½,,,,Edit this entry
15,Aug 2023,13,American Graffiti,1973,× ★★★★½,,,Read the review,Edit this entry
16,,11,The Incredibles,2004,× ★★★★★,,,,Edit this entry
17,,5,Guardians of the Galaxy Vol. 3,2023,× ★½,,,Read the review,Edit this entry
18,Jul 2023,25,Barbie,2023,× ★★★★,,,Read the review,Edit this entry
19,,22,Mission: Impossible II,2000,× ★★,,,,Edit this entry
20,,16,Mulholland Drive,2001,×,,,Read the review,Edit this entry
21,,13,Mission: Impossible,1996,× ★★★★,,,,Edit this entry
22,Jun 2023,25,Spider-Man: Across the Spider-Verse,2023,× ★★½,,,Read the review,Edit this entry
23,,20,Chungking Express,1994,× ★★★★★,,,Read the review,Edit this entry
24,,10,John Wick: Chapter 4,2023,× ★★★½,,,Read the review,Edit this entry
25,May 2023,30,Wild at Heart,1990,× ★★★★,,,Read the review,Edit this entry
26,,27,Batman: Under the Red Hood,2010,×,,,,Edit this entry
27,,26,Justice League: The Flashpoint Paradox,2013,×,,,,Edit this entry
28,,21,Pierrot le Fou,1965,×,,,Read the review,Edit this entry
29,,14,Homework,1989,× ★★★½,,,Read the review,Edit this entry
30,,14,Opening Night,1977,× ★★★★½,,,Read the review,Edit this entry
31,Apr 2023,30,John Mulaney: Baby J,2023,×,,,,Edit this entry
32,,22,Gone Girl,2014,× ★★★,,,,Edit this entry
33,Mar 2023,19,The Devil Wears Prada,2006,× ★★★★,,,,Edit this entry
34,,3,Stalker,1979,× ★★★★★,,,Read the review,Edit this entry
35,Feb 2023,26,Pirates of the Caribbean: The Curse of the Black Pearl,2003,× ★★★,,,Read the review,Edit this entry
36,,20,Rent,2005,× ★★★,,,,Edit this entry
37,,18,Three Colours: Blue,1993,× ★★★★★,,,Read the review,Edit this entry
38,,15,Valentine's Day,2010,× ★★★,,,Read the review,Edit this entry
39,Jan 2023,29,The Fabelmans,2022,× ★★★★,,,,Edit this entry
40,,22,Snowpiercer,2013,× ★★★½,,,,Edit this entry
41,,18,The Menu,2022,× ★★★½,,,Read the review,Edit this entry
42,,16,Under the Silver Lake,2018,× ★★★,,,Read the review,Edit this entry
43,,12,8½,1963,× ★★★★★,,,Read the review,Edit this entry
44,,9,Set It Up,2018,× ★★,,,Read the review,Edit this entry
45,,8,Notting Hill,1999,× ★★★★,,,Read the review,Edit this entry
46,,2,Prey,2022,× ★★½,,,Read the review,Edit this entry
47,,1,Glass Onion,2022,× ★½,,,Read the review,Edit this entry
48,Dec 2022,26,Ferris Bueller's Day Off,1986,×,,,,Edit this entry
49,,26,Home Alone,1990,×,,,,Edit this entry
